iter	Passed	Remaining
0	7	7226
1	11	5895
2	15	5201
3	18	4701
4	21	4329
5	24	4094
6	27	3838
7	29	3627
8	31	3430
9	33	3284
10	35	3161
11	37	3079
12	39	2997
13	41	2934
14	43	2863
15	45	2796
16	47	2743
17	49	2697
18	51	2660
19	53	2635
20	55	2605
21	58	2601
22	61	2591
23	63	2562
24	65	2537
25	67	2510
26	69	2490
27	71	2467
28	73	2451
29	74	2424
30	77	2412
31	79	2391
32	80	2370
33	82	2356
34	85	2347
35	87	2332
36	89	2318
37	90	2302
38	92	2286
39	94	2275
40	96	2260
41	98	2254
42	100	2244
43	103	2237
44	105	2232
45	106	2219
46	108	2203
47	110	2190
48	112	2177
49	114	2169
50	115	2158
51	117	2146
52	119	2135
53	121	2124
54	123	2114
55	124	2104
56	126	2093
57	128	2082
58	130	2078
59	132	2074
60	134	2065
61	136	2058
62	137	2050
63	139	2042
64	141	2032
65	142	2023
66	145	2021
67	146	2014
68	148	2009
69	151	2007
70	152	2000
71	154	1992
72	156	1984
73	158	1978
74	159	1972
75	161	1967
76	163	1963
77	165	1961
78	167	1958
79	169	1952
80	171	1947
81	173	1943
82	175	1940
83	177	1938
84	179	1936
85	181	1933
86	183	1928
87	185	1923
88	187	1918
89	189	1914
90	191	1909
91	193	1906
92	195	1903
93	197	1901
94	199	1896
95	200	1891
96	202	1888
97	204	1886
98	206	1882
99	208	1880
100	210	1876
101	212	1874
102	214	1871
103	216	1867
104	218	1864
105	220	1861
106	222	1857
107	224	1854
108	226	1852
109	228	1849
110	230	1846
111	232	1842
112	234	1838
113	235	1834
114	237	1830
115	240	1829
116	242	1828
117	244	1826
118	246	1822
119	248	1819
120	250	1816
121	251	1813
122	253	1809
123	255	1808
124	257	1805
125	259	1801
126	261	1798
127	263	1796
128	265	1793
129	267	1789
130	269	1785
131	271	1784
132	273	1781
133	275	1778
134	276	1774
135	279	1772
136	280	1769
137	282	1766
138	284	1762
139	286	1760
140	288	1759
141	290	1756
142	293	1759
143	295	1758
144	298	1757
145	300	1757
146	302	1756
147	304	1753
148	306	1751
149	309	1752
150	311	1749
151	313	1746
152	314	1743
153	317	1742
154	319	1741
155	321	1739
156	323	1736
157	325	1734
158	327	1731
159	329	1728
160	331	1726
161	333	1725
162	335	1725
163	338	1723
164	340	1721
165	341	1718
166	343	1715
167	345	1712
168	348	1713
169	350	1712
170	352	1710
171	355	1710
172	357	1708
173	359	1705
174	361	1703
175	363	1701
176	365	1699
177	368	1699
178	370	1698
179	372	1696
180	374	1694
181	377	1694
182	379	1695
183	382	1695
184	384	1693
185	386	1693
186	389	1691
187	391	1688
188	392	1686
189	395	1685
190	397	1684
191	399	1682
192	401	1680
193	404	1679
194	406	1676
195	408	1675
196	410	1675
197	413	1676
198	415	1673
199	418	1672
200	420	1669
201	422	1667
202	424	1664
203	426	1662
204	428	1661
205	430	1659
206	432	1656
207	434	1654
208	436	1653
209	438	1651
210	440	1648
211	443	1648
212	445	1647
213	447	1644
214	449	1642
215	451	1639
216	453	1637
217	455	1635
218	458	1635
219	461	1635
220	463	1633
221	465	1631
222	467	1628
223	469	1625
224	471	1623
225	473	1621
226	476	1620
227	478	1619
228	480	1617
229	482	1615
230	484	1612
231	486	1610
232	488	1608
233	491	1607
234	493	1606
235	495	1603
236	497	1601
237	499	1598
238	501	1595
239	503	1593
240	505	1591
241	507	1589
242	509	1587
243	511	1584
244	513	1582
245	515	1580
246	517	1577
247	519	1575
248	522	1574
249	524	1572
250	525	1569
251	527	1566
252	529	1563
253	531	1561
254	533	1558
255	535	1555
256	537	1553
257	539	1551
258	541	1548
259	543	1545
260	545	1543
261	547	1540
262	548	1538
263	550	1535
264	552	1533
265	554	1530
266	556	1528
267	558	1525
268	560	1522
269	562	1520
270	564	1517
271	566	1515
272	568	1514
273	570	1511
274	572	1510
275	574	1507
276	576	1505
277	578	1502
278	580	1499
279	582	1497
280	584	1495
281	586	1493
282	588	1490
283	590	1487
284	591	1485
285	593	1482
286	595	1479
287	597	1477
288	599	1474
289	601	1472
290	603	1469
291	604	1466
292	606	1464
293	607	1459
294	609	1457
295	611	1454
296	613	1451
297	615	1449
298	617	1447
299	619	1445
300	621	1442
301	623	1440
302	625	1437
303	626	1435
304	628	1432
305	631	1431
306	633	1429
307	634	1426
308	636	1424
309	638	1421
310	640	1419
311	642	1417
312	644	1414
313	646	1412
